"CUSTOMER NO","CUSTOMER NAME",EMAIL,"AR DIVISION NO","BENCHMARK REGIONAL MANAGER"
ABBMA00,"ABBVIE , CC 1007 (NE1)",Abbvie.us.usap@ironmountain.com,00,"MIKE DESROSIERS"
ABTIL00,"ABBVIE, CC: 6003",Abbvie.us.usap@ironmountain.com,00,"ADAM ROOKER"
ADVFL00,"ADVENT HEALTH",ap@adventshealth.com,00,"DON NEWSHAM"
VHPIL00,"RODGER KURTZ SAMPLE ACCT",egarcia@benchmarkproducts.com,00,"RODGER KURTZ"
TOMNJ00,"TOM SAMPLES ACCOUNT",egarcia@benchmarkproducts.com,00,"TOM HANNEY"
SO1TX00,"Rob Simpson Sample Account",egarcia@benchmarkproducts.com,00,ROB
RANMI00,"NICK MALKIN SAMPLE ACCOUNT",egarcia@benchmarkproducts.com,00,"NICK MALKIN"
PA100,"KIRK WHITMER SAMPLE ACCOUNT",egarcia@benchmarkproducts.com,00,"KIRK WHITMER"
NICNC00,"SEAN GARAVELLI SAMPLE ACCOUNT",egarcia@benchmarkproducts.com,00,"SEAN GARAVELLI"
LORPR00,"Nestor Ruiz SAMPLE",egarcia@benchmarkproducts.com,00,"HOUSE - PUERTO RICO"
JERMA00,"MIKE DESROSIERS SAMPLES ACCT",egarcia@benchmarkproducts.com,00,"MIKE DESROSIERS"
GLENCA0,"WILL CAFFERY SAMPLE ACCOUNT",egarcia@benchmarkproducts.com,00,"WILL CAFFERY"
DUSCA00,"DUSTIN FANUCCHI",egarcia@benchmarkproducts.com,00,"WILL CAFFERY"
DONMO00,"DON SAMPLES ACCOUNT",egarcia@benchmarkproducts.com,00,"DON NEWSHAM"
BENILOO,"BENCHMARK PRODUCTS, INC.",egarcia@benchmarkproducts.com,00,
