"ITEM CODE","ITEM CODE DESCRIPTION","VENDOR NAME","QUANTITY ON HAND","QUANTITY PURCHASED"
/C,"Default Item Code /C",,0,0
/M,"Default Item Code /M",,0,0
A-4FM9S,"MASK,STER,WIDE9""TIES,1/B,300/C","Benchmark Products",1,204
B-3030,"BAG,BREATHER  30 X 30, 100/CS",,3,0
B-888-0486,"BAG,CUSTOM FILTRATION,IR,",,5,0
B-888-0791-C,"BAG,CUSTOM,HDM-200,MBA",,7,0
C-DECWFI-SP-70,"IPA70%,ST,MIST,11OZ,AERO24/CS",,9,103
G-HC1370S,"GLOVE,12""ST,7,LTX,1PR/B,200B/C",,11,3
G-HC1375S,"GLOVE,12""ST,7.5LTX1PR/B,200B/C",,13,0
G-HC1380S,"GLOVE,12""ST,8LTX,1PR/B,200B/C",,15,133
G-HC1385S,"GLOVE,12""ST,8.5LTX1PR/B,200B/C",,17,0
PB2436-4-S,"BAG,STERILE,24X36,25/PK,4/C","Benchmark Products",19,28
S-20LFL-S-IR,"STERILE LOOSE FIT HOOD, LG,5/C","Benchmark Products",21,0
W-BP7030-PK99-S,"WIPER,STER,P/K,70/30,40/P,24/C","Benchmark Products",23,293
Y-34,"MOP,SPONGE,CR, 25/CS","Benchmark Products",0,0
Y-3PP-515-25S,"SUITE PAD MOP 16MM, STER,25/CS","Benchmark Products",27,0
Y-4PP-515-25S,"SUITE PAD MOP 16MM, STER,25/CS","Benchmark Products",29,2
Y-9966MHK,"HANDLE,ALUM.W/SS EYE BOLT,EACH","Benchmark Products",31,0
Y-EL-MOPIR,"MOP,EDGELESS,IRR.,20/CS",,33,0
Y-GL-PP515-25,"SUITE-GLIDE PADDLE MOP,25/CS","Benchmark Products",35,0
Y-GL-SP47-10S,"SUITESPONGE,STERILE,10/B,10B/C","Benchmark Products",37,0
Y-SSFM-AANK-4,"SS FRAME,QUICKCONNECT,360 SWVL","Benchmark Products",39,0
Y-TTC85-20S,"MOP,TUBE,SUITE,STERILE,1/B,20/","Benchmark Products",41,0
